time,Efield
1.8110550969249602e-07,-3.9574168237831997
1.818481792114944e-07,-7.8424651012207
1.825908487304928e-07,-15.6125616560975
1.8333351824949122e-07,-15.6125616560975
1.8407618776848962e-07,-15.6125616560975
1.84818857287488e-07,-16.9075777485767
1.855615268064864e-07,-37.627835228247
1.8630419632548482e-07,-70.00323754023171
1.870468658444832e-07,-107.5587042221339
1.8766575711031521e-07,-198.2098306956903
1.881608701229808e-07,-293.3935134929255
1.884703157558968e-07,-419.6575825096653
1.8871787226222962e-07,-530.3814584166524
1.889654287685624e-07,-643.0478584623592
1.8927487440147842e-07,-738.2315412595943
1.8964620916097763e-07,-848.9554171665814
1.898937656673104e-07,-944.1390999638156
1.9007943304706e-07,-1046.4453712696873
1.903269895533928e-07,-1171.414424193948
1.905745460597256e-07,-1299.6210173494073
1.908221025660584e-07,-1424.590070273668
1.909458808192248e-07,-1528.191357672018
1.911934373255576e-07,-1641.505265763965
1.9144099383189043e-07,-1761.2942543183071
1.9156477208505683e-07,-1862.3055095317
1.918123285913896e-07,-1979.5044659010844
1.9205988509772242e-07,-2093.3363804300216
1.9235695290532175e-07,-2223.8740025519446
1.9303242851545843e-07,-2327.771293628576
1.9352046848508598e-07,-2245.630272905598
1.9379278064205202e-07,-2115.48115561142
1.940403371483848e-07,-1985.3320383172413
1.9428789365471762e-07,-1870.0756060865756
1.94411671907884e-07,-1756.1141899483903
1.9465922841421682e-07,-1643.4477899026838
1.9478300666738321e-07,-1507.4711001923483
1.9490678492054963e-07,-1401.279780609039
1.95030563173716e-07,-1210.1354053590808
1.9496867404713282e-07,-1313.2186863204404
1.9515434142688242e-07,-1103.426079338781
1.952781196800488e-07,-1003.278168187042
1.954018979332152e-07,-800.3923136986044
1.9534000880663202e-07,-909.1736654668729
1.955256761863816e-07,-694.2009941152953
1.9564945443954801e-07,-498.91256736940284
1.9558756531296483e-07,-598.3698032718205
1.957732326927144e-07,-393.7572606600774
1.958970109458808e-07,-283.6808927993299
1.960207891990472e-07,-128.27896170180338
1.961445674522136e-07,12.8777923784486
1.9626834570538e-07,233.03052809994452
1.9620645657879682e-07,108.7089832219234
1.9651590221171281e-07,416.4048067950254
1.963921239585464e-07,318.5015902035841
1.966396804648792e-07,596.2825420404121
1.9679440328133722e-07,740.0293283056234
1.96887236971212e-07,922.626597345217
1.9676345871804565e-07,815.7877697156674
1.9713479347754483e-07,1101.3388181073722
1.9701101522437844e-07,1002.2700870326986
